#  Everything k4 needs from the system.
#
#  This table is the single source: `instalar` reads it for diagnostics and
#  installation, and the README's Requirements table comes from here. When
#  adding an external program call in QML or tools/, add it here in the same change.
#
#  Columns, separated by TAB:
#
#      check          how to detect it. Binary names use `command -v`;
#                     the `pkg:` prefix queries the package manager for
#                     dependencies without a binary (fonts and Qt modules).
#      package        its Arch package name. `-` means it is not packaged:
#                     report its absence, but it cannot be installed.
#      level          `base`: required for the feature to exist.
#                     `opcional`: the bar works, but a specific feature does not.
#      purpose        the line shown to the user when it is missing.
#
#  Checked with pacman in July 2026: every base dependency is in the official
#  Arch repositories (extra). No AUR helper is needed.

#  ── Engine ─────────────────────────────────────────────────────────────────
pkg:quickshell	quickshell	base	El motor sobre el que corre la barra
pkg:hyprland	hyprland	base	Compositor: atajos, ventanas, espacios y tema
git	git	base	Instalar y actualizar k4
python	python	base	Todas las herramientas de tools/
pkg:python-mistune	python-mistune	base	Native chat markdown parsing
pkg:python-pygments	python-pygments	base	Native chat code highlighting

#  Qt: quickshell already brings qt6-declarative and qt6-wayland, but not
#  multimedia. Without these two packages the bar produces no sound.
pkg:qt6-multimedia	qt6-multimedia	base	Reproducir sonido y vídeo en la barra
pkg:qt6-multimedia-ffmpeg	qt6-multimedia-ffmpeg	base	Descodificador de lo que se reproduce

#  ── Fonts ──────────────────────────────────────────────────────────────────
#  Without the Nerd Font, half the interface is squares: icons are glyphs.
pkg:ttf-meslo-nerd	ttf-meslo-nerd	base	Los iconos de la interfaz
pkg:adwaita-fonts	adwaita-fonts	base	Texto de la interfaz y rótulos

#  ── Attach the screen to a question ─────────────────────────────────────────
grim	grim	base	Attach the screen to an OpenWebUI message
slurp	slurp	base	Elegir una región con el ratón
awww	awww	base	Apply wallpapers with transitions from the native Wallpaper page
swaybg	swaybg	base	Fallback wallpaper backend for the native Wallpaper page
ffmpeg	ffmpeg	base	Fondos de vídeo y efectos de tema
ffprobe	ffmpeg	base	Sondear los vídeos del selector de fondos
magick	imagemagick	base	Miniaturas y conversiones de imagen
matugen	matugen	base	Material You palette schemes (tonal, monochrome…) for the wallpaper accent
zenity	zenity	base	El diálogo «Examinar…» para abrir un vídeo

#  ── Desktop ────────────────────────────────────────────────────────────────
wl-copy	wl-clipboard	base	Copiar al portapapeles
wl-paste	wl-clipboard	base	Vigilar el portapapeles para el historial
fd	fd	base	Buscar ficheros en el lanzador
pactl	libpulse	base	Volumen y dispositivos de audio
wpctl	wireplumber	base	Volumen por aplicación (PipeWire)
nmcli	networkmanager	base	Estado de la red y conexión a redes Wi-Fi
pkg:bluez	bluez	base	Dispositivos Bluetooth en el centro de control
notify-send	libnotify	base	Enviar notificaciones
xdg-open	xdg-utils	base	Abrir un fichero con su programa
xdg-user-dir	xdg-user-dirs	base	Encontrar tus carpetas de Vídeos e Imágenes
update-desktop-database	desktop-file-utils	base	Mantener el índice del lanzador
curl	curl	base	El tiempo y las consultas al asistente
powerprofilesctl	power-profiles-daemon	base	Select and confirm system power profiles
busctl	systemd	base	Read power-profile capabilities and application holds
brightnessctl	brightnessctl	base	Control laptop screen brightness
ddcutil	ddcutil	base	Control external monitor brightness over DDC/CI
pkg:python-astral	python-astral	base	Calculate night-light sunrise and sunset locally

#  ── Optional ───────────────────────────────────────────────────────────────
#  None of these are installed unless --opcionales is requested.
kitty	kitty	opcional	Terminal donde instalar paquetes desde el lanzador
uwsm	uwsm	opcional	Lanzar aplicaciones en su propio ámbito de systemd
yay	yay	opcional	Buscar e instalar paquetes de AUR desde el lanzador
nvidia-smi	nvidia-utils	opcional	Temperatura y uso de la GPU NVIDIA
claude	-	opcional	Usage limits in the Agents plugin
codex	-	opcional	Usage limits in the Agents plugin
hyprsunset	hyprsunset	opcional	Night-light session backend (version 0.4 or newer)
