#  Everything k4 needs from the system.
#
#  This table is the single source: `install` reads it for diagnostics and
#  installation, and the README's Requirements table comes from here. When
#  adding an external program call in QML or tools/, add it here in the same change.
#
#  Columns, separated by TAB:
#
#      check          how to detect it. Binary names use `command -v`;
#                     the `pkg:` prefix queries the package manager for
#                     dependencies without a binary (fonts and Qt modules).
#      package        its Arch package name. `-` means it is not packaged:
#                     report its absence, but it cannot be installed.
#      level          `base`: required for the feature to exist.
#                     `opcional`: the bar works, but a specific feature does not.
#      purpose        the line shown to the user when it is missing.
#
#  Checked with pacman in July 2026: every base dependency is in the official
#  Arch repositories (extra). No AUR helper is needed.

#  ── Engine ─────────────────────────────────────────────────────────────────
pkg:quickshell	quickshell	base	The engine that runs the bar
pkg:hyprland	hyprland	base	Compositor: shortcuts, windows, workspaces and theme
git	git	base	Install and update k4
python	python	base	All helper scripts in tools/
pkg:python-mistune	python-mistune	base	Native chat markdown parsing
pkg:python-pygments	python-pygments	base	Native chat code highlighting

#  Qt: quickshell already brings qt6-declarative and qt6-wayland, but not
#  multimedia. Without these two packages the bar produces no sound.
pkg:qt6-multimedia	qt6-multimedia	base	Play audio and video in the bar
pkg:qt6-multimedia-ffmpeg	qt6-multimedia-ffmpeg	base	Decode audio and video for playback

#  ── Fonts ──────────────────────────────────────────────────────────────────
#  Without the Nerd Font, half the interface is squares: icons are glyphs.
pkg:ttf-meslo-nerd	ttf-meslo-nerd	base	Interface icons
pkg:adwaita-fonts	adwaita-fonts	base	Interface text and labels

#  ── Attach the screen to a question ─────────────────────────────────────────
grim	grim	base	Attach the screen to an OpenWebUI message
slurp	slurp	base	Select a screen region with the pointer
awww	awww	base	Apply wallpapers with transitions from the native Wallpaper page
swaybg	swaybg	base	Fallback wallpaper backend for the native Wallpaper page
ffmpeg	ffmpeg	base	Video wallpapers and theme effects
ffprobe	ffmpeg	base	Probe videos in the wallpaper picker
magick	imagemagick	base	Image thumbnails and conversion
matugen	matugen	base	Material You palette schemes (tonal, monochrome…) for the wallpaper accent
zenity	zenity	base	The Browse dialog for opening a video

#  ── Desktop ────────────────────────────────────────────────────────────────
wl-copy	wl-clipboard	base	Copy to the clipboard
wl-paste	wl-clipboard	base	Watch the clipboard for history
fd	fd	base	Find files in the launcher
pactl	libpulse	base	Volume and audio devices
wpctl	wireplumber	base	Per-application volume (PipeWire)
nmcli	networkmanager	base	Network status and Wi-Fi connections
pkg:bluez	bluez	base	Bluetooth devices in the control center
notify-send	libnotify	base	Send notifications
secret-tool	libsecret	base	Remember credentials in the desktop system keyring
xdg-open	xdg-utils	base	Open a file with its associated application
xdg-user-dir	xdg-user-dirs	base	Locate the user's Videos and Pictures directories
update-desktop-database	desktop-file-utils	base	Maintain the launcher's application index
curl	curl	base	Weather and assistant queries
powerprofilesctl	power-profiles-daemon	base	Select and confirm system power profiles
busctl	systemd	base	Read power-profile capabilities and application holds
brightnessctl	brightnessctl	base	Control laptop screen brightness
ddcutil	ddcutil	base	Control external monitor brightness over DDC/CI
pkg:python-astral	python-astral	base	Calculate night-light sunrise and sunset locally

#  ── Optional ───────────────────────────────────────────────────────────────
#  None of these are installed unless --opcionales is requested.
kitty	kitty	opcional	Terminal for installing packages from the launcher
uwsm	uwsm	opcional	Launch applications in their own systemd scope
yay	yay	opcional	Find and install AUR packages from the launcher
nvidia-smi	nvidia-utils	opcional	NVIDIA GPU temperature and utilization
claude	-	opcional	Usage limits in the Agents plugin
codex	-	opcional	Usage limits in the Agents plugin
hyprsunset	hyprsunset	opcional	Night-light session backend (version 0.4 or newer)
